Title,Chapter,Article,Section,Content,Page (int)
"VISION, MISSION, AND MORAL DUTY","Chapter 4. Graduate Attributes",,,"6. Communication Skills – A USTP graduate presents and articulates views, thoughts, and ideas by effectively using oral, written, multimedia, and nonverbal communication skills in a variety of forms and context.",Page: 3-4
"VISION, MISSION, AND MORAL DUTY","Chapter 5. Core Values",,,"Setting the right behavior and perspectives is fundamental in the fulfillment of one’s goals. Thus, the University agreed upon the following core values that would guide its members and stakeholders in all their undertakings and move them towards the right path: 




",Page: 4
"VISION, MISSION, AND MORAL DUTY","Chapter 5. Core Values",,,"1. Unselfish Dedication – Selfless commitment and complete fidelity towards a course of action or goal. 
",Page: 4
"VISION, MISSION, AND MORAL DUTY","Chapter 5. Core Values",,,2. Social Responsiveness – Ethical/moral responsibility leading to corrective action on social issues and contributions for the betterment of the environment and the community’s quality of life. ,Page: 4
"VISION, MISSION, AND MORAL DUTY","Chapter 5. Core Values",,,3. Transformational Leadership – Leading through inspiration and by example to foster positive change with the end goal of developing followers into leaders. ,Page: 4
"VISION, MISSION, AND MORAL DUTY","Chapter 5. Core Values",,,4. Prudence – Self-governance leading to circumspection and good judgment in the management of affairs and use of resources.,Page: 4
"VISION, MISSION, AND MORAL DUTY","Chapter 6. Moral Duty of the University to the Community",,,"Public office is a public trust. Public officers and employees must at all times be accountable to the people and serve with the highest degree of responsibility, integrity, loyalty, and efficiency and shall remain accountable to the people (Philippine Constitution, Article. X1, Sec. 1). ",Page: 4-5
"VISION, MISSION, AND MORAL DUTY","Chapter 6. Moral Duty of the University to the Community",,,"It is the duty of every member of the University community to be committed to the attainment of its vision, mission, goals, and objectives in the most effective, efficient, economical, and judicious manner. ",Page: 4-5
"VISION, MISSION, AND MORAL DUTY","Chapter 6. Moral Duty of the University to the Community",,,"The rule of law shall be respected in the exercise of power and authority, and in the discharge of duties by all officials, staff member, faculty members, and office personnel. ",Page: 4-5
ACADEMIC REGULATIONS,Chapter 1. Academic Calendar and Class Size,Article. 1. Academic Calendar,,The USTP academic calendar shall be approved by the Board of Regents. Each semester shall consist of at least 18 weeks. Class work in the mid-year session shall be equivalent to class work in one semester. All class hours lost due to fortuitous events such as typhoons and earthquakes shall be made up for.,Page: 5
ACADEMIC REGULATIONS,Chapter 1. Academic Calendar and Class Size,Article. 2. Class Size,,Class sizes shall adhere to quality standards set by the University regarding the proper ratio between the number of students per faculty to ensure quality instruction with respect to local and international standards. ,Page: 5
ACADEMIC REGULATIONS,Chapter 1. Academic Calendar and Class Size,Article. 2. Class Size,,Class size shall be determined based on the method of instruction and availability of facilities. ,Page: 5
ACADEMIC REGULATIONS,Chapter 1. Academic Calendar and Class Size,Article. 2. Class Size,,"As a rule, class size in lecture classes for the general education subjects shall not be less than 30 students. ",Page: 5
ACADEMIC REGULATIONS,Chapter 1. Academic Calendar and Class Size,Article. 2. Class Size,,"As much as practicable, class size for laboratory classes shall not be less than 30 students. No class shall be divided into sections to suit the personal needs or convenience of the instructor.",Page: 5
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 1. Admission,,"No student shall be discriminated against and denied admission to the University by reason of sex, nationality, religion, political affiliation, or physical disability (RA 10919, Section 47). Because of varying situations and capabilities of applicants, each campus shall implement their campus admission guidelines (e.g., acceptance rate, cut-off scores, quota), provided these guidelines are in alignment with the general admission policy of the university. ",Page: 6
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 1. Admission,,"Each program may set admission requirements and guidelines specific to their specialization and may have admission cut-off scores, as well as percentage requirements per subject. ",Page: 6
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 1. Admission,,Board programs offered across the system shall have the same cut-off score/subject percentage requirements. ,Page: 6
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 1. Admission,,"Following the selective admission policy of the university, students must satisfy all the requirements prescribed by their college/department, aside from the minimum requirements for each level as indicated below:  
1. Pass the Admission Test  
2. With Good Moral Character",Page: 6
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 1. Admission,Section 1. Admission Application Requirements,"1. Incoming Freshmen (Grade 12 Graduating Students) 
a. Duly accomplished Application Form (Form is available at the Admissions and Scholarships Office or downloadable at ustp.edu.ph) 

b. Photocopy of Form 138/Grade 12 Report Card with First to Third Quarter Grades signed by the Class Adviser (For the New Academic Calendar: August to May, First to Second Quarter Grades) 

c. Good Moral Character 

d. Photocopy of School ID - 

e. 2 pcs. 2x2 recent identical ID Photo with white background (Selfie photo not accepted) f. Active Email Address (necessary for computer-based test) ",Page: 6-7
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 1. Admission,Section 1. Admission Application Requirements,"2. Transferees - A transferee is a student who comes from another school and must take the admission test. S/he may be admitted in any program of the university provided that: 

a. his/her situation does not match any of the conditions stipulated in the Selective Retention; should the applicant’s situation match with the aforementioned conditions, the major subjects reckoned in the computation should correspond to the major subjects in the program applied for. 

b. s/he gets approval from the Dean concerned before taking the admission test. 

c. s/he passes the screening process and meets all the admission requirements. 

d. his/her admission does not exceed the enrollment quota of the school-year and specialization. 

e. s/he has completed more than one semester of the old curriculum (students who have completed only the first semester of the old college curriculum may be admitted to ladderized programs). 

",Page: 7-8
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 1. Admission,Section 1. Admission Application Requirements,"2. Transferees - A transferee is a student who comes from another school and must take the admission test. S/he may be admitted in any program of the university provided that: 

f. s/he can submit the following required documents: 

i. duly accomplished Application Form (Form is available at the Admissions and Scholarships Office or downloadable at ustp.edu.ph) 

ii. original copy of Transcript of Records & Honorable Dismissal 

iii. evaluation Slip from the Chair and Dean of the chosen degree program - 

iv. 2 pcs. 2x2 recent identical ID Photo with white background (Selfie photo not accepted) 

v. active Email Address (necessary for computer-based test) 

g. Good Moral character ",Page: 7-8
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 1. Admission,Section 1. Admission Application Requirements,"3. High School Graduate of the Old Basic Education Curriculum and ALS (Alternative Learning System). Certified applicants can only enroll in Ladderized Programs, after evaluation by the Dean/Campus Director. Should the applicant wish to enroll in regular programs, s/he must be required to undergo bridging classes. The following requirements should be submitted: 

a. duly accomplished Application Form (Form is available at the Admissions and Scholarships Office or downloadable at ustp.edu.ph) 

b. photocopy of Form 138/Report Card 

c. 2 pcs. 2x2 recent identical ID Photo with white background (Selfie photo not accepted) 

d. Good Moral Character e. active email address (necessary for computerbased test) ",Page: 8
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 1. Admission,Section 1. Admission Application Requirements,"4. Foreign/international student applicants must submit the following requirements to take the Admission Test: 

a. Complete and valid credentials from previous school (equivalent to Senior High School) 

b. Duly accomplished Application Form (Form is available at the Admissions and Scholarships Office or downloadable at ustp.edu.ph) 

c. Photocopy of School ID 

d. 2 pcs. 2x2 recent identical ID Photo with white background (Selfie photo not accepted) 

e. Active Email Address (necessary for computerbased test) 



",Page: 8-11
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 1. Admission,Section 1. Admission Application Requirements,"After passing the admission test, foreign/international students shall submit the following requirements for the issuance of the Notice of Admission (NOA): 

1. Must comply with all the prescribed requirements stipulated in Executive Order No. 285, s. 2000 (Amending the Guidelines Governing the Entry and Stay of Foreign Students in the Philippines): 

a. Five (5) copies of the Student's Personal History Statement (PHS) duly signed by him, both in English and in his national alphabet accompanied by his personal seal, if any, and containing, among others, his left and right thumbprints and a 2x2- inch photograph on plain white background taken not more than six months prior to submission 

b. A notarized affidavit of support including bank statements or notarized notice of grant for institutional scholars to cover expenses for the student’s accommodation and subsistence, as well as school dues and other incidental expenses. 

c. Scholastic records duly authenticated by the Philippine Foreign Service Post located in the student applicant’s country of origin or legal residence. 

d. Photocopy of data page of the student’s passport showing date and place of birth, and birth certificate or its equivalent duly authenticated by the Philippine Foreign Service Post. ",Page: 8-11
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 1. Admission,Section 1. Admission Application Requirements,2. A foreign student may be admitted based on - availability of slots of the course applied for. ,Page: 8-11
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 1. Admission,Section 1. Admission Application Requirements,"After the foreign/international student’s compliance with the requirements, the University shall issue a Notice of Acceptance (NOA) to the student and submit a duplicate copy thereof of the DFA. These documents shall be hand-carried to the DFA by the school’s designated liaison officer under a cover letter on the school’s official stationery signed by the school registrar and stamped with the school’s dry seal requesting that a student visa be issued to the person named therein. The DFA shall indorse the documents to the Philippine Foreign Service Post located in the student’s country of origin or legal residence for the issuance of the student visa after ascertaining the student’s identity and admissibility under existing DFA regulations.",Page: 8-11
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 1. Admission,Section 2. Mid-Year School Admission Policy,"1. Cross-enrollees. Students of other institutions who desire to enroll during mid-year term may only do so with a Permit-to- Study, a written permission of the Head or Registrar of the institution where they are in regular residence. ",Page: 11
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 1. Admission,Section 2. Mid-Year School Admission Policy,2. Transferees. Transferees are not admitted during the mid-year term. A mid-year Permit-to-Study is not an admission to a regular program of the university. Freshmen and Transferees should apply for admission before the start of the regular semestral classes.,Page: 11
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 1. Admission,Section 3. Admission Affirmative Action.,"Approved admission regulations for Indigenous Peoples (IP’s), Internally Displaced Persons (IDPs), and students from disadvantaged and vulnerable sectors of the region shall be implemented upon presentation of certifications from the regional offices of the National Commission on Indigenous Peoples (NCIP), National Commission for Refugees, Immigrants, and Internally Displaced Persons (NCFRMI), and the Department of Social Welfare and Development (DSWD). Please refer to Title Six. Student Services, Chapter 12. Affirmative Action Program and Chapter 13. Special Admission for Talented Students (Aspects) Guidelines.",Page: 11
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 1. Admission,Section 4. Inter-Campus Admission.,Students enrolling in other campuses do not need to take the admission test and may enroll in courses of the same program following approved guidelines for registration. A student seeking to enroll in another program from another campus shall be subjected to the guidelines for shiftees and other existing policies. Board programs must require the same admission cutoff score for such shiftees.,Page: 12
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,,"Upon passing the admission test, students are required to enroll within the specified period. All applicants, including freshmen, returnees, cross-enrollees, transferees, shiftees, irregular students, and foreign students, must comply with the registration requirements set by the university. A student must be officially registered in order to receive credit for course work.",Page: 12
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 1. Medical Certificate Requirement upon Enrollment,"To ensure the safety, security, and well-being of the students: 
a) all new students (freshmen and transferees) are required to submit medical certificates with a recent (not older than 6 months) chest x-ray result attached; 
c) these medical certificates will serve as baseline health reference for curricular and noncurricular activities throughout the school year. Section 47 of RA 10919 stipulates that no student shall be discriminated against or denied admission to the university by reason of physical disability.",Page: 12
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 2. Freshmen Students.,"Upon enrolment, a freshman should submit the following: 
1. original copy of Form 138 (report card) - 
2. original copy of Certificate of Good Moral Character. 
3. original Copy of PSA authenticated Birth Certificate. 
4. one copy of 2x2 ID photo; and 
5. original Copy of PSA authenticated Marriage contract, for married female students.",Page: 12-13
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 3. Student Transferees,"A student coming from another school who wishes to enroll in USTP shall be referred to as a transferee (including students from other USTP campuses). 
1. Student transferees must submit the following upon enrollment: 
a. Certificate of Transfer Credentials. 
b. Transcript of Records (TOR) with ‘For Evaluation Purposes Only’ remarks. 
c. Average grade requirement (GWA/GPA) 
d. Certificate of Good Moral Character; and 
e. Original Copy of Marriage contract, for married female transferees. ",Page: 13-15
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 3. Student Transferees,"2. The student transferee must apply for accreditation of subjects during enrolment period. The accreditation will be determined by the department chairperson of the subject concerned and approved by the Dean. 




















",Page: 13-15
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 3. Student Transferees,"a. The student should already have submitted an original TOR upon admission. Should the original TOR not be available for valid reasons, a copy of the transcript of records with the remarks COPY FOR USTP should be submitted by the student before the Registrar acts on the validation of accredited subjects. Validation of accredited subjects should be done within the period of three (3) semesters from the date of admission to the college. ",Page: 13-15
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 3. Student Transferees,"b. Only the subjects leading to a degree program taken by transferees shall be validated and - accredited. The subjects to be accredited should have the same course titles and number of units to earn credits. Should the titles be dissimilar, the Chair shall ask for the course syllabus to determine whether the course contents are similar for the course to earn units. Should the number of units differ, only courses whose number of units are greater than what is prescribed by the university shall be accredited. ",Page: 13-15
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 3. Student Transferees,c. Subjects to be accredited must not exceed 30% of the total number of units prescribed in the curriculum. ,Page: 13-15
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 3. Student Transferees,"d. Transfer students will not be allowed to enroll in any subject the prerequisite(s) of which have been taken elsewhere, have not yet been validated, or repeated and passed. ",Page: 13-15
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 3. Student Transferees,"e. If the number of units earned outside the University is less than the prescribed units of the course, the student should enroll the course as offered in the University. ",Page: 13-15
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 3. Student Transferees,"f. All subjects and units taken from any SUC within the last five (5) years at the time of transfer may be credited provided that, they are prescribed in the curriculum and have the same course content and number of units, and subject to residency requirement. ",Page: 13-15
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 3. Student Transferees,"g. All subjects and units taken from any private institutions within the last five (5) years at the time of transfer, with courses duly accredited by any accrediting agency under the Federation of Accrediting Agencies in the Philippines (FAAP) may be credited, provided that, they are prescribed in the curriculum and have the same course content and number of units, and subject to residency requirement. ",Page: 13-15
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 3. Student Transferees,h. Only units earned by foreign students in the collegiate level shall be given credit. ,Page: 13-15
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 3. Student Transferees,i. TESDA – Technical vocational courses can earn college degree credits for subjects they have already taken under the Philippine Credit Transfer System (PCTS) Joint Memo circular No. 01 2023 of CHED and PCTS ,Page: 13-15
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 3. Student Transferees,j. Transferees from other private institutions with courses not yet accredited by any accrediting agency under the FAAP should undergo validation of subjects as prescribed in the validation/accreditation process. ,Page: 13-15
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 3. Student Transferees,k. Subjects not officially enrolled by the students are not given credit nor included in their permanent record and Transcript of Records.,Page: 13-15
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 4. Returnee. ,The student who withdrew from the program or was granted a Leave of Absence (LOA) or who went AWOL for one semester or more and wishes to re-enroll in the university shall be referred to as a student returnee. ,Page: 15
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 4. Returnee. ,"Returnees shall undergo re-entry interviews by guidance counsellors/department chairs/college deans and are subject to availability of slots, as well as the selective retention and residency policies enforced at the time of their return.",Page: 15
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 5. Shiftees.,"A student seeking to shift from one program to another within the university should have completed one school year (two semesters) and must file an application for shifting. As admitted/qualified students at the university, shiftees need not submit themselves to admission processes (e.g., admission test, admission requirements). ",Page: 15-16
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 5. Shiftees.,"The approval of their application is determined by the conditions and requirements set by the University (e.g., qualifying exam, grades, accreditation of - subjects, etc.) and must be duly approved by the Deans of both Colleges. ",Page: 15-16
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 5. Shiftees.,"Subjects taken may be accredited only if the subjects from the previous program have substantially the same course description, title, and number of units as those of the new program. ",Page: 15-16
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 5. Shiftees.,"The Chair prepares and administers the qualifying exam (if applicable), reviews the students’ grades, and recommends the same for the approval of the Dean. The Dean may open another section to accommodate those who are qualified. ",Page: 15-16
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 5. Shiftees.,Shiftees from other campuses from within the system shall follow the same guidelines but must complete two years of study before they can apply/shift to another program in another campus.,Page: 15-16
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 6. Foreign/International Students.,"Upon arrival in the Philippines, the foreign/international student, as part of the requirements for processing his/her entry, shall report immediately to the BI Students Desk for registration. Foreign/international students may enroll in USTP after complying with the following requirements: 
1. Must have complete and valid credentials 
",Page: 16-17
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 6. Foreign/International Students.,"2. Must comply with all the prescribed registration requirements of the College/Program, such as: 
a. College Admission Test Result (passed) 
b. Certificate of Completion of a Secondary Education Curriculum or equivalent 
c. Original Transcript of Record or equivalent 
d. Personal Data Sheet (from admission) 
e. Alien Certificate of Registration (ACR) 
f. Certificate of Residence for Temporary Students (CRTS) 
g. Student Visa 
h. Security Clearance from his/her Embassy 
i. Resident Guarantor of his/her character - ",Page: 16-17
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 6. Foreign/International Students.,"3. Must meet all the prescribed requirements by Department of Foreign Affairs (DFA) and Background Investigation(BI). Arrival and Stay in the Philippines of Foreign/International Students (Executive Order No. 285, s. 2000): The student’s authorized period of stay shall be consistent with the length of the course of study to which he has been accepted by a Philippine school. The initial period is one year, then, is renewed by the BI Student Desk every semester and for cause, maybe approved for one year. ",Page: 16-17
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 6. Foreign/International Students.,"A foreign student who wishes to pursue another degree program higher than the original course completed shall submit all appropriate clearances/indorsements to include Personal History Statement form duly accomplished, notarized affidavit of support, official transcript of record, NBI clearance and NOA from his admitting school and other concerned agencies to the BI for approval and subsequent processing of student visa extensions. Authorization for conversion from tourist’s visa category to that of a student visa or issuance of Special Study Permit (Executive Order No. 285, s. 2000): ",Page: 16-17
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 6. Foreign/International Students.,"The concerned school and the Inter-Agency members shall provide assistance to the foreigners who are already in the country under any valid visa arrangement and who apply/petition for the conversion of their status to 9f student visa or for the issuance of a Special Study Permit provided all relevant prerequisites are complied with, and provided further, that safeguards to national security concerns/interests are adequately and appropriately undertaken by all concerned agencies.",Page: 16-17
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 7. Cross-enrolling Students,"1. From Other Higher Education Institutions. The student from other schools who wishes to cross-enroll in USTP - shall submit a Permit to Study issued by his/her home institution to be approved by the Dean concerned and the University Registrar. 







",Page: 17-18
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 7. Cross-enrolling Students,"2. Inter-campus Enrolment. Students from other campuses may enroll in another campus without taking another university admission test. In all cases, the students should present to the host-registrar a certification from the deans/academic heads of both campuses. Intercampus enrollees may process their enrolment under the following modes: ",Page: 17-18
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 7. Cross-enrolling Students,a. Cross-enrolment of courses (GE or courses of same program) offered in another campus. This is allowed for the following valid reasons: 1) the student is graduating and/or 2) the course is not offered in the campus of origin during the semester. Courses taken in other campuses should not exceed 40% of the required courses in the curriculum. ,Page: 17-18
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 7. Cross-enrolling Students,"b. Transferring from one campus to another (same program). Only students who have completed two years of study shall be allowed to transfer from one campus to another, and for valid reasons as determined by the host Dean/Academic Head (e.g., job opportunities, family transfer, etc.). Students should have the same cut-off score as required by the host program and should comply with the requirements set by the host program. ",Page: 17-18
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 7. Cross-enrolling Students,c. Transferring from one campus to another and shifting to another program. This constitutes a shifting from one program to another and shall be subject to the existing policy on shifting. This policy also stipulates that such a shift from another campus will be allowed only if the student has completed two years of study. Board programs must require the same admission cutoff score for such shiftees.,Page: 17-18
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 8. Shifting from Old to New Curriculum,"1. If a student shifts to a new curriculum, courses taken based on the old curriculum should be validated for equivalency with the courses in the new curriculum. Accreditation should be recommended by the chair and approved by the Dean of the college handling the concerned course. ",Page: 19
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 8. Shifting from Old to New Curriculum,"2. If shifting to the new curriculum is not beneficial to the student (i.e., the student has taken more than 75% of the courses in the old curriculum or if shifting to the new curriculum will further extend the student's program of study), the student can proceed with the old curriculum as usual if the remaining courses to be taken are still being offered in the university. 

",Page: 19
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 8. Shifting from Old to New Curriculum,"a. Existing courses (in the new curriculum) equivalent to courses in the old curriculum may be enrolled in by the student and credited towards the remaining courses in the old curriculum, upon the recommendation of the Chair and approval of the Dean. Subjects with similar course contents (not necessarily course titles) will be accredited, upon review of the syllabus. Should the number of units differ, only courses whose number of units are greater than what is prescribed by the university shall be accredited. 
",Page: 19
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 2. Registration,Section 8. Shifting from Old to New Curriculum,"b. If there is no existing course equivalent to the phased-out course, the student should be advised to file a petition to open the course, subject to availability of faculty to handle the concerned course.",Page: 19
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 3. Changing/Adding/Dropping of Subjects,,"Changing, adding, and dropping subjects may be allowed within the first week of classes of regular semesters under the following  - conditions: opening of new sections, dissolved subject(s), approved change of subject schedule and/or conflict of schedules. 



",Page: 19-20
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 3. Changing/Adding/Dropping of Subjects,,"Dropping of subject/s beyond the prescribed schedule may be allowed subject to evaluation and approval of the Dean/Academic head concerned, provided that the dropping is done for meritorious reasons such as conflict in work schedule, health reasons, late dissolution of class, and other valid reasons that the Dean/Academic Head may deem meritorious. ",Page: 19-20
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 3. Changing/Adding/Dropping of Subjects,,"Provided further that the total number of absences incurred by the student prior to his/her application for dropping of subject/s does not exceed 17% of the total contact hours of the said subject/s. Moreover, official dropping of subject/s must be done before the scheduled Midterm examination. Should the above provisions not be met, the policy on “Dropped due to Absence” shall take effect.",Page: 19-20
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 3. Changing/Adding/Dropping of Subjects,,Changing/Adding/Dropping of Subjects may be allowed during the mid-year term but only within the enrolment period to mitigate implications on the intensive schedule of mid-year classes and attendance/absence policies.,Page: 20
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 3. Changing/Adding/Dropping of Subjects,,"All cases of changing, adding and dropping of subject/s shall require approval from the Dean/Academic head concerned.",Page: 20
ACADEMIC REGULATIONS,Chapter 2. Admission and Registration,Article. 4. Enrolling Subjects in Other Programs,,"As a general rule, students are not allowed to enroll in two (2) degree programs. In cases, however, where students from a regular program enroll in non-degree programs, the following are the guidelines: ",Page: 20
